_excel_row_number,id,clinic_type,feature_code,feature_name,feature_name_vi,description,is_default_enabled,display_order
48,07eba4f5-9249-4640-9109-c93fd81365fb,COMPREHENSIVE_CLINIC,order_intake,Order Intake,Tiếp nhận chỉ định,,t,20
49,b94044ce-7687-4cd7-a3e2-48a7bd186736,COMPREHENSIVE_CLINIC,imaging_workflow,Imaging Workflow,Quy trình chẩn đoán hình ảnh,,t,21
50,17f6d7d9-2f1c-43e9-91ed-88fd2bcaf411,COMPREHENSIVE_CLINIC,lab_workflow,Lab Workflow,Quy trình xét nghiệm,,t,22
51,e9f90f21-66b2-4dba-a9f1-bd879b6061b2,COMPREHENSIVE_CLINIC,result_upload,Result Upload,Upload & xác nhận kết quả,,t,23
52,c84708dc-ce55-41d2-b867-23224d17650a,COMPREHENSIVE_CLINIC,result_delivery,Result Delivery,Trả kết quả,,t,24
53,0e8c6281-43c9-4285-a49f-a47d55799367,COMPREHENSIVE_CLINIC,external_orders,External Orders,Chỉ định từ cơ sở ngoài,,t,25
54,5293303f-28a9-4e8d-8564-b63cd453b146,COMPREHENSIVE_CLINIC,pacs_integration,PACS Integration,Tích hợp PACS,,f,26
55,4ce5a4a7-a7e0-4e30-b5f6-62393b286d4f,COMPREHENSIVE_CLINIC,lis_integration,LIS Integration,Tích hợp LIS,,f,27
56,8619321e-f348-453d-82da-82f3bad2be95,COMPREHENSIVE_CLINIC,diagnostic_billing,Diagnostic Billing,Thanh toán chẩn đoán,,t,28
57,cbffc1b6-1781-4bd1-b66b-3cd20b7cf853,DIAGNOSTIC_CENTER,ai_assistant,AI Assistant,Trợ lý AI,,t,12
58,85167efc-c079-4aeb-9d3b-6274e5c951ed,STEM_CELL_CENTER,patient_registration,Patient Registration,Đăng ký bệnh nhân,,t,1
59,273681f5-d572-411b-a6ac-e066ec8a3550,STEM_CELL_CENTER,visit_management,Visit Management,Quản lý lượt khám,,t,2
60,9a3718e6-1e24-41a3-b39a-9c5202b2af5f,STEM_CELL_CENTER,doctor_schedule,Doctor Schedule,Lịch làm việc bác sĩ,,t,3
61,1fce7b54-f6bc-4fbe-b07a-eba3b7d68ef8,STEM_CELL_CENTER,appointment_booking,Appointment Booking,Đặt lịch hẹn,,t,4
62,f0a11e43-ef91-40f3-99d6-c65d3ae57419,STEM_CELL_CENTER,medical_records,Medical Records,Hồ sơ bệnh án,,t,5
63,22a5e8e0-4095-4105-b26c-5709b8dfb2c5,STEM_CELL_CENTER,prescription,Prescription,Kê đơn thuốc,,t,6
64,d4562b8a-5680-49fd-85d7-9056a6b3891f,STEM_CELL_CENTER,outpatient_billing,Outpatient Billing,Thanh toán ngoại trú,,t,7
65,3d632199-83dd-4e1b-9a4b-7ef366caa907,STEM_CELL_CENTER,lab_workflow,Laboratory Workflow,Quy trình xét nghiệm,,t,8
66,e74c4f14-5e99-44d8-9136-1ec6183ba14d,STEM_CELL_CENTER,imaging_workflow,Imaging Workflow,Quy trình chẩn đoán hình ảnh,,t,9
67,ab05597f-6dcc-4125-b1ce-a2aa6175ef8d,STEM_CELL_CENTER,result_upload,Result Upload & Validation,Upload & xác nhận kết quả,,t,10
68,18b8229a-ceb7-4a4c-ac8e-0ed070e47dd0,STEM_CELL_CENTER,result_delivery,Result Delivery,Trả kết quả,,t,11
69,5ca64407-53dd-456d-9005-b7639c40907c,STEM_CELL_CENTER,order_intake,Order Intake,Tiếp nhận chỉ định,,t,12
70,0c05e042-3b35-4e08-9f25-b958b17b3c30,STEM_CELL_CENTER,admission_management,Admission Management,Quản lý nhập viện,,t,13
71,09e8acdb-6b16-4533-8073-11707edc3e92,STEM_CELL_CENTER,bed_management,Bed/Room Management,Quản lý giường/phòng,,t,14
72,4169c9f6-453f-47f6-9c9d-bcceb3b44655,STEM_CELL_CENTER,inpatient_orders,Inpatient Orders,Y lệnh nội trú,,t,15
73,5271b866-e359-4808-b773-def1ccd3a9fb,STEM_CELL_CENTER,nursing_notes,Nursing Notes,Ghi chép điều dưỡng,,t,16
74,349439ff-d161-4e97-8175-6b59591607ea,STEM_CELL_CENTER,ward_management,Ward Management,Quản lý khoa phòng,,t,17
75,b61616e9-2864-4027-ad34-83e94c108d8e,STEM_CELL_CENTER,inpatient_billing,Inpatient Billing,Thanh toán nội trú,,t,18
76,0d091028-9bc1-4cdf-9e5d-e250cecbd8dd,STEM_CELL_CENTER,diagnostic_billing,Diagnostic Billing,Thanh toán chẩn đoán,,t,19
77,f89b09dc-f3c4-487e-b03f-c09d7b8c27c8,STEM_CELL_CENTER,external_orders,External Clinic Orders,Chỉ định từ cơ sở ngoài,,t,20
78,17942505-e104-4a32-ad50-cbfc2612c861,STEM_CELL_CENTER,pacs_integration,PACS Integration,Tích hợp PACS,,f,21
79,360990f5-ea18-4f86-b930-c3c49c4d3d19,STEM_CELL_CENTER,lis_integration,LIS Integration,Tích hợp LIS,,f,22
80,a8b71840-c79f-4098-8931-3ead4b83b155,STEM_CELL_CENTER,ai_assistant,AI Assistant,Trợ lý AI,,t,23
