_excel_row_number,id,clinic_id,feature_code,is_enabled,config,created_at,updated_at
38,3ff6f275-2766-414c-aa24-f9d2373c171d,53b21ef0-6d31-49e7-af24-fb259a4cc25d,bed_management,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
39,5f3f34e0-7e70-4d67-b643-977084afbbf1,53b21ef0-6d31-49e7-af24-fb259a4cc25d,doctor_schedule,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
40,c905e9cc-dce7-4e89-8c5d-5291be844665,53b21ef0-6d31-49e7-af24-fb259a4cc25d,inpatient_billing,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
41,df5ac74b-b49a-45c5-8f63-282f3e041662,53b21ef0-6d31-49e7-af24-fb259a4cc25d,inpatient_orders,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
42,428c26d4-a225-4e6d-9f30-0470687c1582,53b21ef0-6d31-49e7-af24-fb259a4cc25d,medical_records,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
43,d2fe67cb-826f-431e-abcb-98bb6250fdb0,53b21ef0-6d31-49e7-af24-fb259a4cc25d,nursing_notes,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
44,92b4fb1d-e4a1-4c78-949a-7fb927e479b4,53b21ef0-6d31-49e7-af24-fb259a4cc25d,outpatient_billing,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
45,7388aa05-c8d4-4ddf-ba9d-61302ff62f62,53b21ef0-6d31-49e7-af24-fb259a4cc25d,patient_registration,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
46,4d7f5b8b-4037-4d1b-9af3-f10fbdf33118,53b21ef0-6d31-49e7-af24-fb259a4cc25d,prescription,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
47,8f7fc1da-5c8d-4a4d-b3c0-4f2fae1c1639,53b21ef0-6d31-49e7-af24-fb259a4cc25d,visit_management,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
48,e6d1bf5f-1ec9-493a-a9dc-ce535e6e0317,53b21ef0-6d31-49e7-af24-fb259a4cc25d,ward_management,t,{},2026-03-12 09:20:25.437778+00,2026-03-12 09:20:25.437778+00
49,7561ca59-1681-4897-871a-16b1aa0654d7,9c3f8505-e173-4742-a684-baeae1e63e11,patient_registration,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
50,2ffdb55c-3780-45ce-8c19-9e176d34559e,9c3f8505-e173-4742-a684-baeae1e63e11,visit_management,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
51,f7e61ab5-e69e-4180-a227-52a18ef2622b,9c3f8505-e173-4742-a684-baeae1e63e11,doctor_schedule,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
52,be3c2fa3-a9f6-4dd3-84df-65aa8a0f68ec,9c3f8505-e173-4742-a684-baeae1e63e11,prescription,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
53,467468f0-cc2b-4d8a-abc4-2f087074536f,9c3f8505-e173-4742-a684-baeae1e63e11,outpatient_billing,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
54,60f13114-7dec-471e-88c3-4c5cbc8bdd33,9c3f8505-e173-4742-a684-baeae1e63e11,appointment_booking,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
55,21c49240-62cf-4117-8011-e798b7c25a54,9c3f8505-e173-4742-a684-baeae1e63e11,medical_records,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
56,7e9a1cce-90ba-4abb-99c6-2a442f362ce1,9c3f8505-e173-4742-a684-baeae1e63e11,ai_assistant,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
57,c3919182-dbc0-4365-a4ac-5e8dfeba81a8,9c3f8505-e173-4742-a684-baeae1e63e11,admission_management,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
58,f52fa1e9-803d-4f77-9c55-4b2a7f9f00a5,9c3f8505-e173-4742-a684-baeae1e63e11,bed_management,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
59,be5e1b95-4377-4cd2-a7ee-1c47d88d7f3a,9c3f8505-e173-4742-a684-baeae1e63e11,inpatient_orders,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
60,4a95683c-ccec-4c0c-88df-f072ed938643,9c3f8505-e173-4742-a684-baeae1e63e11,nursing_notes,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
61,9bb0b48c-6c31-4709-b6f8-93df24d3c65c,9c3f8505-e173-4742-a684-baeae1e63e11,inpatient_billing,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
62,7093f732-1437-4c54-bfdc-9407698ad84b,9c3f8505-e173-4742-a684-baeae1e63e11,ward_management,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
63,d87b3972-55ca-4457-ac55-c1ae5b9f3d5a,9c3f8505-e173-4742-a684-baeae1e63e11,order_intake,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
64,7c3dc704-ea65-44cc-9d2d-fbe0167f6576,9c3f8505-e173-4742-a684-baeae1e63e11,imaging_workflow,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
65,0a705eb5-b421-4773-b672-cb8488a59ad5,9c3f8505-e173-4742-a684-baeae1e63e11,lab_workflow,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
66,3720df44-9d1b-4472-9a75-8368664e5577,9c3f8505-e173-4742-a684-baeae1e63e11,result_upload,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
67,7100c38d-e29b-436c-b2b4-ddc1e04f3fc5,9c3f8505-e173-4742-a684-baeae1e63e11,result_delivery,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
68,f76ac44c-2150-4d17-9837-f6402c35c8e3,9c3f8505-e173-4742-a684-baeae1e63e11,external_orders,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
69,103c62bd-f894-46ff-beac-5b82c60028a1,9c3f8505-e173-4742-a684-baeae1e63e11,pacs_integration,f,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
70,5b60123e-d5bc-4c91-ac42-254ba5fadcee,9c3f8505-e173-4742-a684-baeae1e63e11,lis_integration,f,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
71,0cf4f0b3-b783-4f31-a31d-2e36adba3024,9c3f8505-e173-4742-a684-baeae1e63e11,diagnostic_billing,t,{},2026-03-12 17:43:55.312269+00,2026-03-12 17:43:55.312269+00
72,78a4998f-5224-40b0-9040-5fa0ea23d6e7,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,patient_registration,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
73,aaf5382c-c1f6-4cf8-8089-2db424bc5cde,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,visit_management,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
74,ece9d41d-fd89-4fa0-b4c4-8c828695bcfd,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,doctor_schedule,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
75,5e0c9873-9741-4dfb-b0d3-ff067a2e22ff,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,prescription,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
76,84726d9c-e902-4ee7-8fee-816d717fd6f1,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,outpatient_billing,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
77,380b8c55-c32c-4b16-98ed-85c8993986b2,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,appointment_booking,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
78,2f2a6a95-31de-47c6-a76e-dfada20f1ade,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,medical_records,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
79,528416d6-40ab-448a-bf6c-307bb1b8605c,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,ai_assistant,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
80,48c9782c-d38a-4947-9d4a-6c6e15c39ef5,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,admission_management,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
81,ca78f715-7eb7-48ef-8f8a-4660dec4f277,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,bed_management,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
82,d640b8dd-4118-44f8-add4-542c8c6d894c,e9cfc7b2-7aa9-4aa3-a731-3ef672c71d3c,inpatient_orders,t,{},2026-03-14 04:37:09.018726+00,2026-03-14 04:37:09.018726+00
